,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
1,22000013,1610612755,76ers,PHI,Philadelphia,240:00:00,104.4,104.6,97.2,100,7.3,4.6,0.537,1.22,15.7,0.28,0.816,0.545,16.636,16.7,0.517,0.564,1,0.198,109.16,107.5,89.58,108,0.538
0,22000014,1610612761,Raptors,TOR,Toronto,240:00:00,91.4,94.3,104.8,108.7,-13.4,-14.4,0.684,1.24,18.4,0.275,0.698,0.468,19.394,20,0.506,0.525,1,0.2,108.04,104.5,87.08,105,0.399
1,22000014,1610612740,Pelicans,NOP,New Orleans,240:00:00,104.8,108.7,91.4,94.3,13.4,14.4,0.714,1.11,20.6,0.302,0.725,0.532,25.046,26,0.644,0.636,1,0.195,108.04,104.5,87.08,104,0.601
0,22000015,1610612741,Bulls,CHI,Chicago,240:00:00,96,97.2,115.1,117,-19.1,-19.8,0.556,1.18,14.7,0.25,0.769,0.473,15.694,15.9,0.46,0.524,1,0.198,108.04,106.5,88.75,107,0.419
1,22000015,1610612737,Hawks,ATL,Atlanta,240:00:00,115.1,117,96,97.2,19.1,19.8,0.558,1.04,17.2,0.231,0.75,0.527,21.344,21.7,0.625,0.668,1,0.194,108.04,106.5,88.75,106,0.581
0,22000016,1610612760,Thunder,OKC,Oklahoma City,240:00:00,112.9,111.8,113.3,110.9,-0.4,0.9,0.524,1.22,15.5,0.404,0.818,0.594,17.822,17.6,0.533,0.559,1,0.197,99.94,101.5,84.58,102,0.493
1,22000016,1610612745,Rockets,HOU,Houston,240:00:00,113.3,110.9,112.9,111.8,0.4,-0.9,0.564,1.38,17.1,0.182,0.596,0.406,16.181,15.8,0.582,0.616,1,0.202,99.94,101.5,84.58,101,0.507
0,22000017,1610612759,Spurs,SAS,San Antonio,240:00:00,118.3,120.2,109.3,109.2,9,11,0.583,2.55,19.1,0.224,0.857,0.541,9.931,10.1,0.558,0.608,1,0.197,109.84,109,90.83,109,0.548
1,22000017,1610612763,Grizzlies,MEM,Memphis,240:00:00,109.3,109.2,118.3,120.2,-9,-11,0.551,2.45,19.2,0.143,0.776,0.459,10.099,10.1,0.568,0.578,1,0.2,109.84,109,90.83,109,0.452
0,22000018,1610612750,Timberwolves,MIN,Minnesota,240:00:00,110.6,109.9,96.6,99,14,10.9,0.658,2.08,18.2,0.255,0.765,0.51,11.962,11.9,0.494,0.553,1,0.199,102.42,101.5,84.58,101,0.541
1,22000018,1610612765,Pistons,DET,Detroit,240:00:00,96.6,99,110.6,109.9,-14,-10.9,0.644,1.93,20.6,0.235,0.745,0.49,14.351,14.7,0.527,0.523,1,0.194,102.42,101.5,84.58,102,0.459
